iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,77.8427,14.1868,135.00,159.00,159.87,160.49,0.6500,0,correlation 0.65 <= 0.7
2,77.8416,14.2276,127.00,183.00,157.23,161.35,0.5130,0,correlation 0.51 <= 0.7
2,77.8208,14.2578,121.00,165.00,151.56,162.71,0.3525,0,correlation 0.35 <= 0.7
2,77.8688,14.1242,151.00,155.00,167.25,158.45,0.7758,0,centroids differ by 8.8 km
2,77.8830,14.1262,151.00,175.00,170.88,157.86,0.7212,0,centroids differ by 13.0 km
2,77.8432,14.2674,125.00,181.00,154.87,161.85,0.3846,0,correlation 0.38 <= 0.7
2,77.8904,14.2027,145.00,171.00,167.28,158.58,0.7290,0,centroids differ by 8.7 km
2,77.8695,14.1285,151.00,155.00,167.08,158.47,0.7713,0,centroids differ by 8.6 km
2,77.8055,14.2198,123.00,166.07,150.45,163.19,0.3572,0,correlation 0.36 <= 0.7
2,77.8919,14.1352,155.00,172.00,172.89,157.66,0.6820,0,correlation 0.68 <= 0.7
2,77.8371,14.1367,135.00,161.00,162.41,160.57,0.7513,0,centroids differ by 1.8 km
2,77.8606,14.1812,139.00,159.00,162.35,159.68,0.7185,0,centroids differ by 2.7 km
2,77.8154,14.2203,125.00,163.00,153.23,162.64,0.4575,0,correlation 0.46 <= 0.7
2,77.8499,14.2438,129.00,181.00,157.06,161.19,0.4957,0,correlation 0.50 <= 0.7
2,77.8199,14.2488,121.00,165.00,152.05,162.54,0.3928,0,correlation 0.39 <= 0.7
2,77.8633,14.1788,145.00,179.00,162.68,159.55,0.7263,0,centroids differ by 3.1 km
2,77.8284,14.2678,119.00,165.00,152.30,162.62,0.3321,0,correlation 0.33 <= 0.7
2,77.8975,14.1417,157.00,169.00,174.07,157.46,0.6655,0,correlation 0.67 <= 0.7
2,77.8087,14.2214,123.00,163.00,151.20,163.05,0.3790,0,correlation 0.38 <= 0.7
2,77.8542,14.1555,137.00,157.00,163.55,159.57,0.7558,0,centroids differ by 4.0 km
2,77.8162,14.2270,123.00,163.00,152.89,162.64,0.4416,0,correlation 0.44 <= 0.7
2,77.8274,14.1912,125.00,161.00,157.78,161.66,0.6061,0,correlation 0.61 <= 0.7
2,77.8839,14.1253,151.00,175.00,171.20,157.81,0.7155,0,centroids differ by 13.4 km
2,77.8479,14.1275,139.00,158.00,164.64,159.79,0.8026,0,centroids differ by 4.8 km
2,77.8067,14.1651,129.00,169.00,155.58,162.79,0.5697,0,correlation 0.57 <= 0.7
2,77.8707,14.1354,151.00,155.00,166.86,158.52,0.7669,0,centroids differ by 8.3 km
2,77.5242,12.8204,155.00,131.00,181.10,160.01,0.4497,0,correlation 0.45 <= 0.7
2,77.5015,12.8470,149.00,133.00,176.22,160.90,0.6699,0,correlation 0.67 <= 0.7
2,77.5198,12.8705,149.00,145.00,177.93,160.64,0.6187,0,correlation 0.62 <= 0.7
2,77.5221,12.8610,151.00,145.00,178.78,160.37,0.5715,0,correlation 0.57 <= 0.7
2,77.4602,12.7695,149.00,137.00,173.10,160.98,0.7559,0,NYA peak not clear against upper and lower means
2,77.4969,12.9054,147.00,149.00,173.42,161.79,0.7769,0,centroids differ by 11.6 km
2,77.5237,12.8333,153.00,131.00,180.43,160.07,0.4855,0,correlation 0.49 <= 0.7
2,77.5457,12.8701,151.00,143.00,183.23,159.66,0.3295,0,correlation 0.33 <= 0.7
2,77.5500,12.8543,161.00,141.00,184.81,159.27,0.1839,0,correlation 0.18 <= 0.7
2,77.4937,12.7891,153.00,133.00,177.20,160.45,0.6261,0,correlation 0.63 <= 0.7
2,77.5130,12.9137,145.00,147.00,175.27,161.62,0.7387,0,centroids differ by 13.7 km
2,77.5488,12.8825,151.00,143.00,183.32,159.67,0.3384,0,correlation 0.34 <= 0.7
2,77.4599,12.8654,141.00,137.00,167.86,162.62,0.7487,0,centroids differ by 5.2 km
2,77.5530,12.8049,193.00,127.00,188.07,158.56,-0.0634,0,correlation -0.06 <= 0.7
2,77.5009,12.7932,153.00,131.00,177.84,160.11,0.5769,0,correlation 0.58 <= 0.7
2,77.5403,12.7779,167.00,127.00,186.22,158.53,0.0449,0,correlation 0.04 <= 0.7
2,77.4722,12.8481,147.00,137.00,171.67,161.99,0.7669,0,centroids differ by 9.7 km
2,77.5490,12.7961,167.00,128.00,187.52,158.66,-0.0259,0,correlation -0.03 <= 0.7
2,77.5329,12.8276,153.00,129.00,182.52,159.58,0.3503,0,correlation 0.35 <= 0.7
2,77.5207,12.8786,149.00,145.00,177.73,160.80,0.6404,0,correlation 0.64 <= 0.7
2,77.4727,12.8555,145.00,137.00,171.38,162.19,0.7739,0,centroids differ by 9.2 km
2,77.4992,12.8121,151.00,133.00,177.02,160.47,0.6190,0,correlation 0.62 <= 0.7
2,77.5140,12.7784,155.00,131.00,180.90,159.68,0.4426,0,correlation 0.44 <= 0.7
2,77.4956,12.8107,151.00,134.00,176.76,160.59,0.6390,0,correlation 0.64 <= 0.7
2,77.5447,12.7941,167.00,129.00,186.49,158.74,0.0397,0,correlation 0.04 <= 0.7
2,77.5105,12.8463,149.00,133.00,177.26,160.49,0.6178,0,correlation 0.62 <= 0.7
2,77.4643,12.8278,147.00,135.00,170.86,161.60,0.7727,0,centroids differ by 9.3 km
2,77.5429,12.8183,162.00,129.00,185.04,159.03,0.1496,0,correlation 0.15 <= 0.7
2,77.4865,12.8224,151.00,135.00,175.05,161.03,0.7179,0,centroids differ by 14.0 km
2,77.4726,12.8257,147.00,148.00,172.97,161.41,0.7421,0,centroids differ by 11.6 km
2,77.5197,12.8284,153.00,131.00,179.78,160.16,0.5126,0,correlation 0.51 <= 0.7
2,77.5362,12.8135,155.00,129.00,183.81,159.37,0.2530,0,correlation 0.25 <= 0.7
2,77.4844,12.8784,143.00,149.00,172.80,161.67,0.7654,0,centroids differ by 11.1 km
2,77.5042,12.8439,149.00,133.00,176.56,160.77,0.6519,0,correlation 0.65 <= 0.7
2,77.5522,12.7662,195.00,127.00,189.92,157.92,-0.2062,0,correlation -0.21 <= 0.7
2,77.4996,12.8261,151.00,133.00,176.66,160.79,0.6457,0,correlation 0.65 <= 0.7
2,77.7282,13.9277,117.00,143.00,158.05,164.64,0.4871,0,correlation 0.49 <= 0.7
2,77.7652,13.8236,153.00,139.00,173.83,159.64,0.6917,0,correlation 0.69 <= 0.7
2,77.7896,13.8956,149.00,131.00,173.18,161.29,0.7866,0,centroids differ by 11.9 km
2,77.7800,13.8024,155.00,137.00,178.13,159.04,0.5805,0,correlation 0.58 <= 0.7
2,77.7180,13.8799,121.00,145.00,159.35,160.59,0.4863,0,correlation 0.49 <= 0.7
2,77.7558,13.9096,141.00,137.00,164.19,163.90,0.7602,1,
2,77.7523,13.8791,143.00,139.00,165.90,162.91,0.7272,0,centroids differ by 3.0 km
2,77.7497,13.9433,131.00,139.00,160.88,164.70,0.7010,0,centroids differ by 3.8 km
2,77.7426,13.8827,135.00,141.00,164.28,162.67,0.6632,0,correlation 0.66 <= 0.7
2,77.7744,13.8572,153.00,135.00,173.32,162.16,0.8115,0,centroids differ by 11.2 km
2,77.7179,13.8385,121.00,147.00,162.84,159.18,0.5233,0,correlation 0.52 <= 0.7
2,77.7107,13.8891,121.00,147.00,156.00,160.65,0.3911,0,correlation 0.39 <= 0.7
2,77.7700,13.9021,137.00,135.00,168.60,163.03,0.8435,0,centroids differ by 5.6 km
2,77.7258,13.8553,119.00,145.00,163.24,159.52,0.5589,0,correlation 0.56 <= 0.7
2,77.7416,13.9367,143.00,139.00,160.06,164.82,0.6331,0,correlation 0.63 <= 0.7
2,77.7979,13.8973,149.00,131.00,172.96,160.78,0.7601,0,centroids differ by 12.2 km
2,77.7199,13.8855,121.00,145.00,159.39,161.09,0.5014,0,correlation 0.50 <= 0.7
2,77.7907,13.8375,153.00,133.00,175.94,161.04,0.6927,0,correlation 0.69 <= 0.7
2,77.7463,13.9416,131.00,139.00,160.60,164.90,0.6735,0,correlation 0.67 <= 0.7
2,77.7249,13.8305,121.00,145.00,164.96,158.78,0.5480,0,correlation 0.55 <= 0.7
2,77.8042,13.8681,155.00,129.00,176.42,160.13,0.6624,0,correlation 0.66 <= 0.7
2,77.7665,13.8630,139.00,137.00,170.94,162.29,0.8086,0,centroids differ by 8.7 km
2,77.7279,13.8646,119.00,145.00,163.00,160.18,0.5797,0,correlation 0.58 <= 0.7
2,77.7820,13.8482,153.00,135.00,175.50,161.68,0.7651,0,centroids differ by 13.8 km
2,77.7428,13.9010,135.00,141.00,163.07,163.82,0.6508,0,correlation 0.65 <= 0.7
2,77.7589,13.9163,139.00,137.00,164.50,163.93,0.7842,1,
2,77.7414,13.8144,147.00,143.00,168.63,158.16,0.5860,0,correlation 0.59 <= 0.7
2,77.7221,13.8002,123.00,147.00,166.64,160.15,0.5891,0,correlation 0.59 <= 0.7
2,77.7885,13.8608,151.00,133.00,175.00,161.30,0.7595,0,centroids differ by 13.7 km
2,77.7764,13.9440,143.00,137.00,166.75,162.39,0.8205,0,centroids differ by 4.4 km
2,77.7318,13.8941,117.00,143.00,161.52,162.74,0.6110,0,correlation 0.61 <= 0.7
2,77.7585,13.8855,141.00,139.00,167.17,163.41,0.7895,0,centroids differ by 3.8 km
2,77.7070,13.8611,123.00,149.00,157.36,159.70,0.4036,0,correlation 0.40 <= 0.7
2,77.7902,13.9137,147.00,133.00,172.12,161.36,0.8080,0,centroids differ by 10.8 km
2,77.7279,13.8039,141.00,145.00,167.50,159.09,0.5594,0,correlation 0.56 <= 0.7
