iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.3941,7.6366,123.00,147.00,152.83,165.69,0.5167,0,correlation 0.52 <= 0.7
2,78.4765,7.7302,129.00,116.04,156.27,160.64,0.7090,0,centroids differ by 4.4 km
2,78.4481,7.6994,129.00,121.00,156.25,162.06,0.7680,0,centroids differ by 5.8 km
2,78.3900,7.6458,121.00,147.00,152.10,165.98,0.4185,0,correlation 0.42 <= 0.7
2,78.4202,7.7130,127.00,132.00,155.69,163.80,0.7990,0,centroids differ by 8.1 km
2,78.4440,7.7019,129.00,119.00,156.27,162.31,0.7803,0,centroids differ by 6.0 km
2,78.4699,7.7521,129.00,119.00,156.04,160.69,0.7229,0,centroids differ by 4.7 km
2,78.4380,7.6417,131.00,121.00,156.55,162.90,0.7814,0,centroids differ by 6.3 km
2,78.3997,7.6830,123.00,145.00,153.80,165.26,0.6270,0,correlation 0.63 <= 0.7
2,78.4260,7.6871,129.00,125.00,156.04,163.45,0.8138,0,centroids differ by 7.4 km
2,78.4053,7.6316,125.00,137.00,154.52,164.97,0.6969,0,correlation 0.70 <= 0.7
2,78.4334,7.7543,129.00,121.00,156.00,162.79,0.8271,0,centroids differ by 6.8 km
2,78.4260,7.7655,129.00,133.00,155.79,163.28,0.8192,0,centroids differ by 7.5 km
2,78.3921,7.6225,123.00,147.00,152.43,165.84,0.4684,0,correlation 0.47 <= 0.7
2,78.4231,7.6433,129.00,125.00,156.03,163.77,0.8045,0,centroids differ by 7.7 km
2,78.4418,7.6986,129.00,117.00,156.31,162.47,0.7877,0,centroids differ by 6.2 km
2,78.4077,7.7283,125.00,133.00,154.72,164.66,0.7239,0,centroids differ by 9.9 km
2,78.3915,7.6846,121.00,147.00,152.46,165.87,0.4559,0,correlation 0.46 <= 0.7
2,78.3850,7.6949,119.00,147.00,151.25,166.30,0.2889,0,correlation 0.29 <= 0.7
2,78.3989,7.7337,123.00,143.00,153.69,165.32,0.6085,0,correlation 0.61 <= 0.7
2,78.4658,7.6944,131.00,121.00,156.26,161.10,0.7246,0,centroids differ by 4.8 km
2,78.4177,7.6291,127.00,127.00,155.71,164.14,0.7870,0,centroids differ by 8.4 km
2,78.4551,7.6255,131.00,123.00,156.61,161.88,0.7276,0,centroids differ by 5.3 km
2,78.4289,7.7279,129.00,123.00,156.01,163.15,0.8224,0,centroids differ by 7.1 km
2,78.4663,7.7414,129.00,119.00,156.03,160.85,0.7264,0,centroids differ by 4.8 km
2,78.4771,7.7131,129.00,116.00,156.36,160.72,0.7048,0,centroids differ by 4.4 km
2,78.3874,7.6386,121.00,147.00,151.58,166.17,0.3488,0,correlation 0.35 <= 0.7
2,78.4163,7.6654,127.00,135.00,155.54,164.17,0.7805,0,centroids differ by 8.6 km
2,78.4714,7.7600,129.00,119.00,156.03,160.61,0.7204,0,centroids differ by 4.6 km
2,78.4532,7.6912,131.00,121.00,156.27,161.75,0.7526,0,centroids differ by 5.5 km
2,78.4543,7.6697,131.00,121.00,156.38,161.75,0.7421,0,centroids differ by 5.4 km
2,78.3922,7.6693,123.00,147.00,152.56,165.82,0.4736,0,correlation 0.47 <= 0.7
2,78.4265,7.6399,131.00,125.00,156.22,163.60,0.8060,0,centroids differ by 7.4 km
2,78.3937,7.7709,121.00,145.00,152.99,165.67,0.5118,0,correlation 0.51 <= 0.7
2,78.4021,7.7463,123.00,143.00,154.12,165.06,0.6601,0,correlation 0.66 <= 0.7
2,78.8719,10.8141,171.00,135.00,172.83,167.62,0.3637,0,correlation 0.36 <= 0.7
2,78.8831,10.7124,175.00,149.00,173.27,167.68,0.6029,0,correlation 0.60 <= 0.7
2,78.9231,10.8373,182.00,238.00,174.22,168.63,0.6808,0,correlation 0.68 <= 0.7
2,78.8883,10.8013,171.00,205.00,173.41,168.63,0.8441,0,centroids differ by 4.8 km
2,78.8329,10.8576,167.00,249.00,170.82,168.43,0.4788,0,correlation 0.48 <= 0.7
2,78.9017,10.8296,177.00,243.00,173.78,169.58,0.7955,0,NYA peak not clear against upper and lower means
2,78.8561,10.7392,171.00,137.00,172.00,168.39,0.5379,0,correlation 0.54 <= 0.7
2,78.9078,10.7354,173.00,249.00,173.95,168.95,0.7264,0,NYA peak not clear against upper and lower means
2,78.8355,10.7415,163.00,249.00,171.01,168.34,0.5898,0,correlation 0.59 <= 0.7
2,78.8363,10.7851,171.00,249.00,171.03,168.46,0.5999,0,correlation 0.60 <= 0.7
2,78.9028,10.8356,177.00,243.00,173.81,169.61,0.7920,0,NYA peak not clear against upper and lower means
2,78.9264,10.8141,182.00,243.00,174.28,168.55,0.6458,0,correlation 0.65 <= 0.7
2,78.9232,10.8403,182.00,237.00,174.22,168.63,0.6824,0,correlation 0.68 <= 0.7
2,78.8942,10.8154,171.00,207.00,173.58,169.04,0.8578,0,NYA peak not clear against upper and lower means
2,78.8661,10.8007,171.00,135.00,172.57,167.47,0.2144,0,correlation 0.21 <= 0.7
2,78.9226,10.8399,182.00,237.00,174.21,168.65,0.6857,0,correlation 0.69 <= 0.7
2,78.8779,10.8105,171.00,137.00,173.06,168.00,0.5907,0,correlation 0.59 <= 0.7
2,78.8769,10.7732,173.00,141.00,173.03,167.55,0.4675,0,correlation 0.47 <= 0.7
2,78.9174,10.7151,176.18,249.00,174.12,168.96,0.6146,0,correlation 0.61 <= 0.7
2,78.8938,10.7143,173.00,151.00,173.63,168.44,0.8374,0,centroids differ by 5.2 km
2,78.9170,10.7945,179.00,249.00,174.14,169.13,0.6681,0,correlation 0.67 <= 0.7
2,78.9037,10.8576,177.00,243.00,173.85,169.52,0.7975,0,NYA peak not clear against upper and lower means
2,78.8415,10.7378,171.00,249.00,171.33,168.61,0.6568,0,correlation 0.66 <= 0.7
2,78.8551,10.7514,171.00,135.00,171.97,168.37,0.5127,0,correlation 0.51 <= 0.7
2,78.8354,10.7393,163.00,249.00,171.00,168.34,0.5892,0,correlation 0.59 <= 0.7
2,78.8769,10.8003,171.00,139.00,173.02,167.78,0.5163,0,correlation 0.52 <= 0.7
2,78.8660,10.7872,173.00,137.00,172.56,167.52,0.2465,0,correlation 0.25 <= 0.7
2,78.8864,10.8242,171.00,201.00,173.33,168.70,0.8507,0,centroids differ by 4.6 km
2,78.8324,10.8147,169.00,249.00,170.82,168.30,0.5544,0,correlation 0.55 <= 0.7
2,78.9126,10.7485,173.00,249.00,174.04,169.17,0.6744,0,correlation 0.67 <= 0.7
2,78.9066,10.8423,177.00,249.00,173.93,169.46,0.7726,0,NYA peak not clear against upper and lower means
2,78.8415,10.7870,171.00,249.00,171.29,168.66,0.6058,0,correlation 0.61 <= 0.7
2,78.8482,10.8520,169.00,125.00,171.69,168.31,0.2809,0,correlation 0.28 <= 0.7
