index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_median_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_median_km,nya_std_km,nya_sem_km,both_mean_km,both_median_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
17,RGBproduct,BACC_LYR_20200103_090018.png,BACC_NYA_20200103_090018.png,2020-01-03 09:00:18,76.6,78.6,8.0,18.0,12,187.7,202.0,39.6,11.4,192.2,194.0,14.1,4.1,189.9,195.0,29.2,6.0,196.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
18,greyscale,BACC_LYR_20200103_090019.png,BACC_NYA_20200103_090019.png,2020-01-03 09:00:19,76.6,78.6,8.0,18.0,16,189.9,181.0,19.1,4.8,191.2,192.0,14.8,3.7,190.6,191.0,16.8,3.0,196.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
18,RGBproduct,BACC_LYR_20200103_090019.png,BACC_NYA_20200103_090019.png,2020-01-03 09:00:19,76.6,78.6,8.0,18.0,12,195.3,194.0,20.0,5.8,195.8,194.0,14.1,4.1,195.6,194.0,16.9,3.5,196.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
19,greyscale,BACC_LYR_20200103_090020.png,BACC_NYA_20200103_090020.png,2020-01-03 09:00:20,76.6,78.6,8.0,18.0,18,192.6,189.0,23.1,5.5,193.7,191.0,19.2,4.5,193.1,190.0,21.0,3.5,198.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
19,RGBproduct,BACC_LYR_20200103_090020.png,BACC_NYA_20200103_090020.png,2020-01-03 09:00:20,76.6,78.6,8.0,18.0,9,193.1,188.0,18.8,6.3,199.8,198.0,14.2,4.7,196.4,189.0,16.5,3.9,196.0,200.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
20,greyscale,BACC_LYR_20200103_090021.png,BACC_NYA_20200103_090021.png,2020-01-03 09:00:21,76.6,78.6,8.0,18.0,14,210.3,212.0,22.3,6.0,199.3,203.0,22.3,6.0,204.8,207.0,22.6,4.3,220.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
20,RGBproduct,BACC_LYR_20200103_090021.png,BACC_NYA_20200103_090021.png,2020-01-03 09:00:21,76.6,78.6,8.0,18.0,8,208.8,202.0,30.7,10.9,197.8,197.0,11.6,4.1,203.2,197.0,23.1,5.8,220.0,200.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
21,greyscale,BACC_LYR_20200103_090022.png,BACC_NYA_20200103_090022.png,2020-01-03 09:00:22,76.6,78.6,8.0,18.0,7,212.0,216.0,20.6,7.8,198.9,204.0,20.8,7.9,205.4,212.0,21.0,5.6,220.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
21,RGBproduct,BACC_LYR_20200103_090022.png,BACC_NYA_20200103_090022.png,2020-01-03 09:00:22,76.6,78.6,8.0,18.0,4,203.0,198.0,15.9,7.9,200.5,201.0,14.9,7.5,201.8,199.0,14.3,5.1,202.0,204.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
22,greyscale,BACC_LYR_20200103_090023.png,BACC_NYA_20200103_090023.png,2020-01-03 09:00:23,76.6,78.6,8.0,18.0,13,198.3,206.0,26.8,7.4,186.5,186.0,17.5,4.8,192.4,193.0,23.0,4.5,224.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
22,RGBproduct,BACC_LYR_20200103_090023.png,BACC_NYA_20200103_090023.png,2020-01-03 09:00:23,76.6,78.6,8.0,18.0,8,197.5,204.0,30.4,10.7,196.0,194.0,14.2,5.0,196.8,199.0,22.9,5.7,224.0,200.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
23,greyscale,BACC_LYR_20200103_090024.png,BACC_NYA_20200103_090024.png,2020-01-03 09:00:24,76.6,78.6,8.0,18.0,19,200.8,206.0,27.6,6.3,188.5,186.0,20.5,4.7,194.7,198.0,24.8,4.0,220.0,186.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
23,RGBproduct,BACC_LYR_20200103_090024.png,BACC_NYA_20200103_090024.png,2020-01-03 09:00:24,76.6,78.6,8.0,18.0,10,203.6,216.0,32.8,10.4,198.4,205.0,17.6,5.6,201.0,208.0,25.8,5.8,224.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
24,greyscale,BACC_LYR_20200103_090025.png,BACC_NYA_20200103_090025.png,2020-01-03 09:00:25,76.6,78.6,8.0,18.0,17,213.2,220.0,27.4,6.6,191.2,194.0,17.3,4.2,202.2,201.0,25.2,4.3,220.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
24,RGBproduct,BACC_LYR_20200103_090025.png,BACC_NYA_20200103_090025.png,2020-01-03 09:00:25,76.6,78.6,8.0,18.0,10,210.0,220.0,30.1,9.5,194.8,195.0,12.6,4.0,202.4,201.0,23.8,5.3,220.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
25,greyscale,BACC_LYR_20200103_090026.png,BACC_NYA_20200103_090026.png,2020-01-03 09:00:26,76.6,78.6,8.0,18.0,22,203.6,197.0,29.7,6.3,187.4,186.0,18.5,3.9,195.5,195.0,25.8,3.9,198.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
25,RGBproduct,BACC_LYR_20200103_090026.png,BACC_NYA_20200103_090026.png,2020-01-03 09:00:26,76.6,78.6,8.0,18.0,11,204.7,198.0,31.0,9.3,189.8,202.0,16.4,4.9,197.3,200.0,25.4,5.4,186.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
26,greyscale,BACC_LYR_20200103_090027.png,BACC_NYA_20200103_090027.png,2020-01-03 09:00:27,76.6,78.6,8.0,18.0,24,197.1,189.0,22.3,4.5,188.4,188.0,17.0,3.5,192.8,189.0,20.1,2.9,202.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
26,RGBproduct,BACC_LYR_20200103_090027.png,BACC_NYA_20200103_090027.png,2020-01-03 09:00:27,76.6,78.6,8.0,18.0,10,194.2,182.0,25.1,7.9,189.8,188.0,14.4,4.5,192.0,182.0,20.1,4.5,182.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
27,greyscale,BACC_LYR_20200103_090028.png,BACC_NYA_20200103_090028.png,2020-01-03 09:00:28,76.6,78.6,8.0,18.0,19,196.3,190.0,22.9,5.3,192.7,202.0,19.2,4.4,194.5,195.0,20.9,3.4,190.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
27,RGBproduct,BACC_LYR_20200103_090028.png,BACC_NYA_20200103_090028.png,2020-01-03 09:00:28,76.6,78.6,8.0,18.0,10,203.8,206.0,27.6,8.7,193.0,200.0,19.0,6.0,198.4,202.0,23.7,5.3,192.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
28,greyscale,BACC_LYR_20200103_090029.png,BACC_NYA_20200103_090029.png,2020-01-03 09:00:29,76.6,78.6,8.0,18.0,20,196.9,192.0,26.5,5.9,192.4,194.0,17.8,4.0,194.7,194.0,22.4,3.5,210.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
28,RGBproduct,BACC_LYR_20200103_090029.png,BACC_NYA_20200103_090029.png,2020-01-03 09:00:29,76.6,78.6,8.0,18.0,11,194.5,196.0,21.1,6.4,193.5,194.0,12.3,3.7,194.0,195.0,16.9,3.6,194.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
29,greyscale,BACC_LYR_20200103_090030.png,BACC_NYA_20200103_090030.png,2020-01-03 09:00:30,76.6,78.6,8.0,18.0,22,204.1,200.0,28.6,6.1,194.5,191.0,20.3,4.3,199.3,197.0,25.0,3.8,214.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
29,RGBproduct,BACC_LYR_20200103_090030.png,BACC_NYA_20200103_090030.png,2020-01-03 09:00:30,76.6,78.6,8.0,18.0,8,201.0,209.0,32.3,11.4,197.0,191.0,15.3,5.4,199.0,199.0,24.5,6.1,216.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
31,greyscale,BACC_LYR_20200103_090032.png,BACC_NYA_20200103_090032.png,2020-01-03 09:00:32,76.6,78.6,8.0,18.0,25,204.6,212.0,26.4,5.3,195.6,194.0,19.3,3.9,200.1,198.0,23.3,3.3,208.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
31,RGBproduct,BACC_LYR_20200103_090032.png,BACC_NYA_20200103_090032.png,2020-01-03 09:00:32,76.6,78.6,8.0,18.0,12,207.8,213.0,18.1,5.2,192.7,194.0,12.1,3.5,200.2,196.0,16.9,3.5,210.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
32,greyscale,BACC_LYR_20200103_090033.png,BACC_NYA_20200103_090033.png,2020-01-03 09:00:33,76.6,78.6,8.0,18.0,20,204.4,203.0,31.5,7.0,195.9,193.0,22.9,5.1,200.2,200.0,27.5,4.4,210.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
32,RGBproduct,BACC_LYR_20200103_090033.png,BACC_NYA_20200103_090033.png,2020-01-03 09:00:33,76.6,78.6,8.0,18.0,5,195.2,192.0,31.2,14.0,202.8,208.0,9.1,4.1,199.0,201.0,22.0,7.0,204.0,206.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
33,greyscale,BACC_LYR_20200103_090034.png,BACC_NYA_20200103_090034.png,2020-01-03 09:00:34,76.6,78.6,8.0,18.0,14,200.7,203.0,24.6,6.6,190.1,179.0,18.9,5.0,195.4,197.0,22.2,4.2,204.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
33,RGBproduct,BACC_LYR_20200103_090034.png,BACC_NYA_20200103_090034.png,2020-01-03 09:00:34,76.6,78.6,8.0,18.0,5,205.6,204.0,9.0,4.0,196.4,208.0,17.7,7.9,201.0,206.0,14.1,4.5,204.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
34,greyscale,BACC_LYR_20200103_090035.png,BACC_NYA_20200103_090035.png,2020-01-03 09:00:35,76.6,78.6,8.0,18.0,15,201.5,202.0,25.7,6.6,191.3,184.0,20.8,5.4,196.4,197.0,23.6,4.3,194.0,188.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
34,RGBproduct,BACC_LYR_20200103_090035.png,BACC_NYA_20200103_090035.png,2020-01-03 09:00:35,76.6,78.6,8.0,18.0,4,182.5,191.0,19.2,9.6,193.5,196.0,15.0,7.5,188.0,192.0,17.0,6.0,194.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
35,greyscale,BACC_LYR_20200103_090036.png,BACC_NYA_20200103_090036.png,2020-01-03 09:00:36,76.6,78.6,8.0,18.0,23,195.3,202.0,32.1,6.7,194.8,198.0,15.1,3.2,195.0,198.0,24.8,3.7,204.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
35,RGBproduct,BACC_LYR_20200103_090036.png,BACC_NYA_20200103_090036.png,2020-01-03 09:00:36,76.6,78.6,8.0,18.0,10,201.2,206.0,27.7,8.8,199.8,200.0,11.0,3.5,200.5,202.0,20.5,4.6,202.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
36,greyscale,BACC_LYR_20200103_090037.png,BACC_NYA_20200103_090037.png,2020-01-03 09:00:37,76.6,78.6,8.0,18.0,35,200.6,210.0,27.5,4.7,195.7,198.0,15.1,2.5,198.2,200.0,22.2,2.6,214.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
36,RGBproduct,BACC_LYR_20200103_090037.png,BACC_NYA_20200103_090037.png,2020-01-03 09:00:37,76.6,78.6,8.0,18.0,18,198.0,205.0,20.5,4.8,200.8,202.0,11.3,2.7,199.4,203.0,16.4,2.7,192.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
37,greyscale,BACC_LYR_20200103_090038.png,BACC_NYA_20200103_090038.png,2020-01-03 09:00:38,76.6,78.6,8.0,18.0,32,195.9,203.0,25.7,4.5,194.4,199.0,13.4,2.4,195.1,201.0,20.3,2.5,194.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
